koushu-handan 探偵編の台詞　抜粋（通読用）
版 v1411 / serifu.txt から二区画をそのまま切り出したもの（本体は未変更）
  ・serifu.txt 7169〜7574 行 … 探偵編の表（ADV_*）
  ・serifu.txt 7624〜7792 行 … 表に入っていない台詞（実行時に組み立てるもの）
各行の先頭の数字は koushu-handan.html の行番号。切り出しても変えていない。
判定カードの方言表（DIALECT_WORDS）は通読済みのため入れていない。
==============================================================================

■ ADV_TALK　［探偵編］　5424行〜
   出る条件 : 部屋での応答（deny=否認／alibi=本人／allyAlibi=味方の証言 ほか）
------------------------------------------------------------------------------
   5425 ｜ 執事　　　 ｜ 雑談(idle) / 執事(butler) ｜ 「物騒な船でございますね。……お茶でもお淹れいたしましょうか」
   5473 ｜ お嬢様　　　 ｜ hintSay / お嬢様(lady) ｜ 「そうですわね……{n}さん、何かご存じのようでしてよ。お訊ねになってみたら？ ふふ」
   5474 ｜ マダム　　　 ｜ hintSay / マダム(french) ｜ 「ウィ、ここだけの話——{n}は何か知っているわ。訊いてごらんなさい」
   5475 ｜ 一姫　　　 ｜ hintSay / 一姫(ichihime) ｜ 「あのね、{n}は、なにか知ってるにゃ。一姫がきいたら、ないしょっていわれたにゃ」
   5476 ｜ 先生　　　 ｜ hintSay / 先生(sensei) ｜ 「良い質問です。{n}——あの者は何かを知っています。当たってみることです」
   5479 ｜ 執事　　　 ｜ elimSay / 執事(butler) ｜ 「……確かにございます。{n}様は、犯人ではいらっしゃいません」
   5480 ｜ 軍師　　　 ｜ elimSay / 軍師(strategist) ｜ 「ふむ、{n}は違うな。読み違いではない、これは確信よ」
   5481 ｜ ずんだもん　　　 ｜ elimSay / ずんだもん(blunt) ｜ 「{n}は違うのだ。それは、まちがいないのだ」
   5482 ｜ お嬢様　　　 ｜ elimSay / お嬢様(lady) ｜ 「{n}さんは、犯人ではありませんわ。それは確かですわよ。ふふ」
   5483 ｜ マダム　　　 ｜ elimSay / マダム(french) ｜ 「{n}は違うわ、ウィ。それは確かよ」
   5484 ｜ 一姫　　　 ｜ elimSay / 一姫(ichihime) ｜ 「{n}は違うにゃ。一姫、わかるにゃ」
   5485 ｜ 先生　　　 ｜ elimSay / 先生(sensei) ｜ 「{n}は違います。それは確かな判定です」
   5488 ｜ 執事　　　 ｜ rhSay / 執事(butler) ｜ 「……いえ、何も。失礼、少し取り込んでおりまして」——執事は、目を合わせなかった。
   5489 ｜ 軍師　　　 ｜ rhSay / 軍師(strategist) ｜ 「……何用だ。いや、こちらの話よ」——軍師は、袖の内へ手を隠した。
   5490 ｜ ずんだもん　　　 ｜ rhSay / ずんだもん(blunt) ｜ 「な、なんでもないのだ。……いまは、ちょっと」——ずんだは、そわそわと目を泳がせた。
   5491 ｜ お嬢様　　　 ｜ rhSay / お嬢様(lady) ｜ 「あら……わたくしに何か？ ……いえ、なんでも」——お嬢様は、扇で口元を隠した。
   5492 ｜ マダム　　　 ｜ rhSay / マダム(french) ｜ 「ノン、別に……。少し、ひとりにしてくださる？」——マダムは、すっと視線を逸らした。
   5493 ｜ 一姫　　　 ｜ rhSay / 一姫(ichihime) ｜ 「な、なんにもないにゃ！ ……あっちいくにゃ」——一姫は、後ずさりした。
   5494 ｜ 先生　　　 ｜ rhSay / 先生(sensei) ｜ 「……何か。いえ、なんでもありません」——先生は、手元の紙を伏せた。
   5497 ｜ 執事　　　 ｜ rhWhisper / 執事(butler) ｜ 「……差し出がましいようですが。{n}様、あの晩から様子がおかしいのです。何か、隠しておいでのような」
   5498 ｜ 軍師　　　 ｜ rhWhisper / 軍師(strategist) ｜ 「小声で言うぞ——{n}、あやつは挙動が妙だ。何か抱えておる。気に留めておけ」
   5499 ｜ ずんだもん　　　 ｜ rhWhisper / ずんだもん(blunt) ｜ 「ないしょなのだ……{n}、へんなのだ。こそこそしてるのだ。あやしいのだ」
   5500 ｜ お嬢様　　　 ｜ rhWhisper / お嬢様(lady) ｜ 「ここだけの話ですけれど……{n}さん、どこか落ち着かないご様子でしてよ。怪しいと思いません？」
   5501 ｜ マダム　　　 ｜ rhWhisper / マダム(french) ｜ 「ここだけの話よ——{n}、あの人、何か隠しているわ。目を見ればわかるの」
   5502 ｜ 一姫　　　 ｜ rhWhisper / 一姫(ichihime) ｜ 「あのね……{n}、こそこそしてて、あやしいにゃ。一姫、みたにゃ」
   5503 ｜ 先生　　　 ｜ rhWhisper / 先生(sensei) ｜ 「注意を促します。{n}——挙動に不審な点が。疑ってみる価値はあります」
   5506 ｜ 執事　　　 ｜ wit / 執事(butler) ｜ 「そういえばあの晩……給仕の帰りに、{h}人影が自室を出て{s}にいるのを、確かに見ました。顔までは……」
   5507 ｜ 軍師　　　 ｜ wit / 軍師(strategist) ｜ 「あの晩のことなら覚えておる。……{h}者が自室を離れ、{s}をうろついておった。面は見ておらぬがな」
   5508 ｜ ずんだもん　　　 ｜ wit / ずんだもん(blunt) ｜ 「あの晩……{h}やつが部屋を出て、{s}にいたのだ。だれかまでは、わからなかったのだ」
   5509 ｜ お嬢様　　　 ｜ wit / お嬢様(lady) ｜ 「あの晩ですけれど……{h}方が自室を出て、{s}にいらしたのを見ましたのよ。お顔は、暗くて」
   5510 ｜ マダム　　　 ｜ wit / マダム(french) ｜ 「あの晩ね……ウィ、{h}影が自室を抜け出して{s}にいたわ。誰、とまでは言えないけれど」
   5511 ｜ 一姫　　　 ｜ wit / 一姫(ichihime) ｜ 「あの晩にゃ……{h}のが部屋を出て、{s}をあるいてたにゃ。かおは、みえなかったにゃ」
   5512 ｜ 先生　　　 ｜ wit / 先生(sensei) ｜ 「あの晩のことは記録しています。……{h}人物が自室を離れ、{s}にいた。時刻も控えてありますが、顔は不明です」
   5515 ｜ 執事　　　 ｜ wit2 / 執事(butler) ｜ 「もうひとつ……その者、{w}人物でございました。それだけは、はっきりと」
   5516 ｜ 軍師　　　 ｜ wit2 / 軍師(strategist) ｜ 「いま一つ思い出したぞ。……その者、{w}者であった。装いだけは目に残っておる」
   5517 ｜ ずんだもん　　　 ｜ wit2 / ずんだもん(blunt) ｜ 「あ、そうなのだ……そいつ、{w}やつだったのだ。それはおぼえてるのだ」
   5518 ｜ お嬢様　　　 ｜ wit2 / お嬢様(lady) ｜ 「そういえば……その方、{w}人でしたわ。装いだけは、目に留まりましたの」
   5519 ｜ マダム　　　 ｜ wit2 / マダム(french) ｜ 「ああ、それと……その影、{w}人だったわ。身なりだけはね、ウィ」
   5520 ｜ 一姫　　　 ｜ wit2 / 一姫(ichihime) ｜ 「あとにゃ……そのひと、{w}かっこうだったにゃ。それだけ、おぼえてるにゃ」
   5521 ｜ 先生　　　 ｜ wit2 / 先生(sensei) ｜ 「補足します。……その人物、{w}装いでした。ここも記録済みです」
   5524 ｜ 執事　　　 ｜ witCheck / 執事(butler) ｜ 「じつは、あれから確かめもしたのです。ですが、どこにも残っておりませんでした。……それでも、見たものは見たのでございます」
   5525 ｜ 軍師　　　 ｜ witCheck / 軍師(strategist) ｜ 「あれから調べもしたのだ。だが、どこにも残っておらぬ。……それでも、この目は覚えておるぞ」
   5526 ｜ ずんだもん　　　 ｜ witCheck / ずんだもん(blunt) ｜ 「じつは、しらべてみたのだ。でも、どこにも残ってなかったのだ。……それでも、見たものは見たのだ」
   5527 ｜ お嬢様　　　 ｜ witCheck / お嬢様(lady) ｜ 「あれから、確かめもしましたのよ。けれど、どこにも残っておりませんでしたわ。……それでも、見たものは見ましたの」
   5528 ｜ マダム　　　 ｜ witCheck / マダム(french) ｜ 「あれから調べもしたのよ。でも、どこにも残っていなかったわ。……それでも、見たものは見たの。ウィ」
   5529 ｜ 一姫　　　 ｜ witCheck / 一姫(ichihime) ｜ 「あれから、しらべてみたにゃ。でも、どこにものこってなかったにゃ。……それでも、みたものはみたにゃ」
   5530 ｜ 先生　　　 ｜ witCheck / 先生(sensei) ｜ 「申し添えます。私の控えのほかに、裏付けはありません。……それでも、見たものは事実です」
   5533 ｜ 執事　　　 ｜ 味方の証言(allyAlibi) / 執事(butler) ｜ 「あの時刻、わたくしは{n}様とご一緒でした。あの方は、ずっとわたくしの目の前に」
   5534 ｜ 軍師　　　 ｜ 味方の証言(allyAlibi) / 軍師(strategist) ｜ 「あの時刻、ワシは{n}相手に軍略を語っておった。{n}に、疑う余地はないぞ」
   5535 ｜ ずんだもん　　　 ｜ 味方の証言(allyAlibi) / ずんだもん(blunt) ｜ 「あの時刻、ボクは{n}とずんだ餅を食べてたのだ。{n}は、部屋を出てないのだ」
   5536 ｜ お嬢様　　　 ｜ 味方の証言(allyAlibi) / お嬢様(lady) ｜ 「あの時刻、わたくしのお茶の席に、{n}さんもいらっしゃいましたわ。ずっと、そこに」
   5537 ｜ マダム　　　 ｜ 味方の証言(allyAlibi) / マダム(french) ｜ 「あの時刻、わたくしは{n}とワインを開けていたの。{n}は、ずっとわたくしの隣よ、ウィ」
   5538 ｜ 一姫　　　 ｜ 味方の証言(allyAlibi) / 一姫(ichihime) ｜ 「あの時刻、一姫は{n}といっしょにおさかな食べてたにゃ。{n}は、どこにも行ってないにゃ」
   5539 ｜ 先生　　　 ｜ 味方の証言(allyAlibi) / 先生(sensei) ｜ 「あの時刻、私は{n}と答案を見ておりました。{n}のアリバイは、私が保証します」
   5542 ｜ 執事　　　 ｜ 本人のアリバイ(alibi) / 執事(butler) ｜ 「あの晩でございますか。……{n}様とご一緒しておりました。ずっと、同じ部屋に」
   5543 ｜ 軍師　　　 ｜ 本人のアリバイ(alibi) / 軍師(strategist) ｜ 「あの晩か。……ワシの長話に、{n}が付き合うておったわ。二人、離れてはおらぬ」
   5544 ｜ ずんだもん　　　 ｜ 本人のアリバイ(alibi) / ずんだもん(blunt) ｜ 「あの晩は、{n}といっしょにいたのだ。ずっと、はなれてないのだ」
   5545 ｜ お嬢様　　　 ｜ 本人のアリバイ(alibi) / お嬢様(lady) ｜ 「あの晩でしたら……{n}さんと一緒でしたわ。ええ、ずっと」
   5546 ｜ マダム　　　 ｜ 本人のアリバイ(alibi) / マダム(french) ｜ 「あの晩ね……{n}と一緒だったわ。ずっと隣にいたの、ウィ」
   5547 ｜ 一姫　　　 ｜ 本人のアリバイ(alibi) / 一姫(ichihime) ｜ 「あの晩は、{n}といっしょだったにゃ。ずうっと、いっしょにゃ」
   5548 ｜ 先生　　　 ｜ 本人のアリバイ(alibi) / 先生(sensei) ｜ 「あの晩は、{n}と過ごしていました。記録にも残っています」
   5551 ｜ 執事　　　 ｜ join / 執事(butler) ｜ 「……およろしければ、この先はわたくしがお供いたします。あなた様の『ヨシ』が、ひとつでも多く通りますように」
   5552 ｜ 軍師　　　 ｜ join / 軍師(strategist) ｜ 「ふむ、その眼——見込みがあるわ。ワシの知略、貸してやろう。共に、真相まで攻めるとしようぞ」
   5553 ｜ ずんだもん　　　 ｜ join / ずんだもん(blunt) ｜ 「……いっしょに行くのだ。かわりに、あとでずんだ餅を一緒に食べるのだ。それが条件なのだ」
   5554 ｜ お嬢様　　　 ｜ join / お嬢様(lady) ｜ 「まあ、仕方のない方。少しだけ手を貸してさしあげますわ。……退屈しのぎですのよ、勘違いなさらないでくださいまし。ふふ」
   5555 ｜ マダム　　　 ｜ join / マダム(french) ｜ 「ウィ、面白そうね。手を貸してさしあげるわ。退屈な船旅よりは、ずっとマシですもの。……セ・ラ・ヴィ」
   5556 ｜ 一姫　　　 ｜ join / 一姫(ichihime) ｜ 「……一姫も行くにゃ。ひとりより、いっしょのほうが、いいにゃ。おさかな、わけてほしいにゃ」
   5557 ｜ 先生　　　 ｜ join / 先生(sensei) ｜ 「協力を求めるとは、良い判断です。一人で抱える者ほど、見落とすもの。……同行しましょう」
   5560 ｜ 執事　　　 ｜ escortHold / 執事(butler) ｜ 「……そういえば、お渡ししそびれた品が。わたくしの部屋で、いま一度」
   5561 ｜ 軍師　　　 ｜ escortHold / 軍師(strategist) ｜ 「うむ、そうであった。ワシの部屋に、まだ渡しておらぬ物がある。取りに戻るとしようぞ」
   5562 ｜ ずんだもん　　　 ｜ escortHold / ずんだもん(blunt) ｜ 「あっ。まだ渡してないのがあるのだ。ずんだの部屋に、置いてきたのだ」
   5563 ｜ お嬢様　　　 ｜ escortHold / お嬢様(lady) ｜ 「あら、わたくしとしたことが。お渡ししていない物が、部屋に残っておりますわ」
   5564 ｜ マダム　　　 ｜ escortHold / マダム(french) ｜ 「ノン、まだ渡していない物があったわ。わたくしの部屋よ、忘れないで」
   5565 ｜ 一姫　　　 ｜ escortHold / 一姫(ichihime) ｜ 「あっ……まだ、わたしてないのがあるにゃ。一姫のへやに、あるにゃ」
   5566 ｜ 先生　　　 ｜ escortHold / 先生(sensei) ｜ 「訂正します。まだ提出していない物がありました。私の部屋です」
   5569 ｜ 執事　　　 ｜ escortGo / 執事(butler) ｜ 「お供いたします。あなた様の『ヨシ』が、ひとつでも多く通りますように」
   5570 ｜ 軍師　　　 ｜ escortGo / 軍師(strategist) ｜ 「案ずるな、ワシがついておる。存分に攻めよ」
   5571 ｜ ずんだもん　　　 ｜ escortGo / ずんだもん(blunt) ｜ 「ちゃんとついてきてるのだ。ずんだ餅の約束、わすれてないのだ」
   5572 ｜ お嬢様　　　 ｜ escortGo / お嬢様(lady) ｜ 「まだお付き合いいたしますわ。……退屈しのぎですのよ。ふふ」
   5573 ｜ マダム　　　 ｜ escortGo / マダム(french) ｜ 「ウィ、まだ隣にいるわ。せいぜい楽しませてちょうだい」
   5574 ｜ 一姫　　　 ｜ escortGo / 一姫(ichihime) ｜ 「一姫も、いっしょにいるにゃ。ひとりじゃないにゃ」
   5575 ｜ 先生　　　 ｜ escortGo / 先生(sensei) ｜ 「同行しています。焦らず、順に潰していきましょう」

■ ADV_MOTIVE_HINT　［探偵編］　5703行〜
   出る条件 : 否認のとき、動機の匂わせとして後ろに足される
------------------------------------------------------------------------------
   5704 ｜ 執事　　　 ｜ 執事(butler) ｜ 
「……壁の音は、存外……いえ、独り言でございます」
   5705 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 
「……順番というものは、存外面白いものよ」
   5706 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) ｜ 
「……あの音、また聞きたいのだ……な、なんでもないのだ」
   5707 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ 
「……誰かの呻き声というのも、悪くございませんわね……いえ、忘れて」
   5708 ｜ マダム　　　 ｜ マダム(french) ｜ 
「……悲鳴にも、味わいがあるものよ……ノン、独り言だわ」
   5709 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 
「……お金なんて、どうでもよくなる時があるにゃ……な、なんでもないにゃ」
   5710 ｜ 先生　　　 ｜ 先生(sensei) ｜ 
「……反応を観察するのは、悪い癖でしてね」

■ ADV_CONFESS　［探偵編・終幕］　5625行〜
   出る条件 : 犯人の自白（複数ページ）
------------------------------------------------------------------------------
   5626 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事は幼い頃から人の顔色で予定を組む役でしたわ。何が欲しいかを訊かれた記憶がないまま、望みという機能が萎びた。
   5627 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「その萎びたはずのものが、あの壁の前で、動いたのでございます。……聞きたい、と。生まれて初めて、わたくしが、望んだのでございます」
   5628 ｜ 執事　　　 ｜ 執事(butler) ｜ 執事「ですから——手を、掛けました。……崩れる音は、それは、良い音でございましたよ」
   5629 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師は一度読み違えて痛い目を見て以来、裏読みで外さなくなりましたの。外さない代わりに、本物の善意を一つ疑って失いましたわ。
   5630 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「読み違えて以来、ワシは常に後の手よ。人の出方を読み、受けて、外さぬ。……あの晩、初めて先手を取った。順番を、ワシが決めたのだ」
   5631 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 軍師「……悪くなかったぞ。読まずに、決めるというのはな」
   5632 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) ｜ ずんだはつぶれる前に誰にも言いませんでしたの。言える相手がいなかったのではなく、言っていい事だと知らなかった。
   5633 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「言えなかった分は、どこにも行かないのだ。ずっと、ボクの中に積んであったのだ。……壁牌みたいに、なのだ」
   5634 ｜ ずんだ　　　 ｜ ずんだもん(blunt) ｜ ずんだ「だから、崩したのだ。……ボクの代わりに、壁が、大きな音で言ってくれたのだ」
   5635 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様は選ばせてもらったことがありませんわ。与えられ続ける檻に、扉が付いていなかっただけですの。
   5636 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「あの晩、気づきましたのよ。壁牌の前で。……これは、わたくしが選べる、と。どの壁を、いつ、崩すか」
   5637 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ お嬢様「ですから、選びましたの。……生まれて初めての選択が、あれでしたのよ」
   5638 ｜ マダム　　　 ｜ マダム(french) ｜ マダムは人前の顔だけを褒められ続け、見られない時間が長すぎましたわ。
   5639 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「見られない時間が、人の本当の味を造る。……わたくしの見られない時間は、耳を造ったの。誰も聞いていない音を、聞き分ける耳を」
   5640 ｜ マダム　　　 ｜ マダム(french) ｜ マダム「だから、鳴らしたのよ。……誰にも見られない時間に、わたくしだけが聞いた。セ・ラ・ヴィ」
   5641 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫の寂しさは、誰にも通報されませんの。
   5642 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「でも、壁牌が崩れた晩はちがったにゃ。船じゅうが起きて、みんな走って、集まったにゃ。……あの晩だけ、船が、にぎやかだったにゃ」
   5643 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 一姫「だから、崩したにゃ。……さみしいは通報されないけど、事件は、通報されるにゃ」
   5644 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生自身が、減点法で育てられましたわ。
   5645 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「点を、つける側になりたかった。……それも、引く側ではなく。足す側に」
   5646 ｜ 先生　　　 ｜ 先生(sensei) ｜ 先生「壁牌が崩れるたび、皆さんの反応に、点を足しました。……わたしの初めての加点法は、あれだったのです」

■ ADV_MOTIVE　［探偵編・終幕］　5712行〜
   出る条件 : 自白のあと、犯人が動機を漏らす
------------------------------------------------------------------------------
   5713 ｜ 執事　　　 ｜ 執事(butler) ｜ 「魔が差した、のでございます。……ほんの一瞬で、ございました。——ですが、妙でございますね。壁牌の崩れる音を思い出すたび、いまも手が、こんなにも安らぐのでございます」
   5714 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 「誰でもよかった。……そう、供述しておこうか。——ふ。嘘よ。誰でもよくなど、なかった。ワシはずっと選んでおった。順番を決めて、夜が来るのを楽しみにしておったのよ」
   5715 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) ｜ 「むしゃくしゃして、やったのだ。……いまは反省しているのだ。——うそなのだ。ずっと、すっきりしてたのだ。あの音、もう一回聞きたいのだ」
   5716 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ 「カッとなって、やりましたのよ。……後悔は、しておりませんわ。——皆さんが下敷きで呻くたび、胸のすく思いでしたの。次は誰にしようか……毎晩、それだけを考えて眠りましたのよ」
   5717 ｜ マダム　　　 ｜ マダム(french) ｜ 「ワインを飲んでいて……何も、覚えていないの。——ウソよ。ぜんぶ覚えてるわ。一人ひとりの悲鳴の音色まで、ソムリエのように言い当てられるの」
   5718 ｜ 一姫　　　 ｜ 一姫(ichihime) ｜ 「あそぶお金が、ほしかったにゃ。——……はじめは、そうだったにゃ。でも、とちゅうから……お金なんて、どうでもよくなってたにゃ」
   5719 ｜ 先生　　　 ｜ 先生(sensei) ｜ 「世間を、騒がせたかったのです。——訂正します。騒がせたかったのではなく、観察したかった。皆さんが怯えていく様子を、毎晩、採点しておりました。……全員、良い反応でしたよ」

■ ADV_FEAR　［探偵編・終幕］　5578行〜
   出る条件 : 犯人が恐れを口にする
------------------------------------------------------------------------------
   5579 ｜ 執事　　　 ｜ 執事(butler) ｜ 「人さまの望みを先回りするのが、わたくしの仕事でございました。……気づけば、自分が何を望む者だったのか、思い出せなくなっておりました。——己の望みを後回しにし続けた者の末路が、これでございますよ」
   5580 ｜ 軍師　　　 ｜ 軍師(strategist) ｜ 「人の言葉の裏ばかり読んで生きてきた。……ある晩、裏のない優しい言葉をかけられてな。ワシはそれが、読めなんだ。疑うことしか、できなんだのよ。——疑い続けた者はな、いつか信じ方を忘れる。おぬしは、忘れるでないぞ」
   5581 ｜ ずんだもん　　　 ｜ ずんだもん(blunt) ｜ 「餅はな、つぶれても餅なのだ。……でも心は、いちどつぶれたら、なにになるか分からんのだ。ぼくは、これになったのだ。——おまえは、つぶれるまえに、だれかに言うのだ」
   5582 ｜ お嬢様　　　 ｜ お嬢様(lady) ｜ 「生まれた時から、望むものは全て与えられましたわ。……ただの一度も、望みを訊かれたことがないだけで。——満たされた檻の中で、人が最後に何を欲しがるようになるか。ご存知かしら」
   5583 ｜ マダム　　　 ｜ マダム(french) ｜ 「ワインはね、暗い樽の中で味が決まるの。良くも、悪くも。……人も同じよ。誰にも見られない時間が、その人の本当の味を造るの。——わたくしの味は、ご覧の通り。セ・ラ・ヴィ」
