# 母集団は「機械打ち同士」——@kobalab/majiang-ai の思考を四人とも同じにして、一局戦を1000局打ち切らせた記録（2026-08-28・較正-1）。人の打ち筋ではない。
局	席	親	配牌	verdict	borderline	baseShanten	acceptTypes	acceptTiles	widthLabel	goodShapes	weakShapes	totalBlocks	shapeOK	shapeNeeded	hasValue	doraValue	redCount	yakuhaiPair	defHonors	defTerminals	結果	点棒	役	巡目
5	3	0	13m148p5578s1266z	attack	1	4	20	67	非常に広い	3	1	4	0	4	1	1	0	1	4	2	被ツモ	-2000		6
6	0	1	67m678p3788s1456z	defend	0	4	15	52	非常に広い	3	0	3	0	4	0	0	0	0	4	0	被ツモ	-700		16
6	1	0	15999m247p466s26z	defend	0	4	24	86	非常に広い	2	1	3	0	4	0	0	0	0	2	4	和了	2500	門前清自摸和1	16
6	2	0	408m2456p240699s	attack	0	2	16	57	非常に広い	4	0	4	1	3	1	2	2	0	0	2	被ツモ	-400		16
6	3	0	12677m126p147s23z	defend	0	5	28	99	非常に広い	1	2	3	0	4	0	0	0	0	2	3	被ツモ	-400		16
7	0	1	233468m26p33s367z	defend	0	4	20	67	非常に広い	3	1	4	0	4	0	0	0	0	3	0	被ツモ	-3900		13
7	1	0	307m112799p1s367z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	1	0	3	5	被ツモ	-2000		13
7	2	0	6799m458p20s1467z	attack	1	5	23	79	非常に広い	3	0	3	0	4	1	1	1	0	4	2	被ツモ	-2000		13
7	3	0	579m124468p99s15z	defend	0	3	6	20	ふつう	2	3	5	0	4	0	0	0	0	2	4	和了	8900	立直1・一発1・門前清自摸和1・ドラ1	13
8	0	1	169m9p105s124677z	attack	0	3	4	16	狭い	2	0	2	0	3	1	2	1	1	6	4	流局	-1500		18
8	1	0	145678m1479p3s36z	defend	0	4	19	69	非常に広い	2	1	3	0	4	0	0	0	0	2	3	流局	1500		18
8	2	0	9m1346678p1269s5z	defend	0	3	13	48	広い	3	1	4	0	4	0	0	0	0	1	4	流局	-1500		18
8	3	0	29m23356p23588s5z	attack	0	4	24	83	非常に広い	4	0	4	1	4	0	0	0	0	1	1	流局	1500		18
9	0	1	6899m3056p136s22z	attack	1	3	14	43	広い	3	3	6	0	4	1	1	1	0	2	3	放銃	-3900		6
9	1	0	16m22688p2406s47z	attack	1	4	24	83	非常に広い	3	0	3	0	4	1	1	1	0	2	1	和了	3900	断幺九1・ドラ1・赤ドラ1	6
9	2	0	236m2489p24477s3z	defend	0	3	7	24	ふつう	3	2	5	0	4	0	0	0	0	1	1	無関係	0		6
9	3	0	2444677m3p27s337z	defend	0	3	6	18	狭い	3	0	3	0	4	0	0	0	0	3	0	無関係	0		6
10	0	1	2358m19p2088s236z	attack	1	5	11	33	ふつう	1	0	2	0	4	1	1	1	0	3	2	被ツモ	-2600		10
10	1	0	2m135p156789s233z	defend	0	3	18	63	非常に広い	3	1	4	0	4	0	0	0	0	3	3	和了	6200	立直1・門前清自摸和1・平和1・ドラ1	10
10	2	0	33477m79p17s1466z	defend	0	3	7	21	ふつう	3	0	4	0	4	1	1	0	1	4	2	被ツモ	-1300		10
10	3	0	55m678p3345679s7z	attack	0	1	3	8	狭い	5	0	5	1	4	0	0	0	0	1	1	被ツモ	-1300		10
11	0	1	1169m25699p46s17z	defend	0	4	20	67	非常に広い	3	1	4	0	4	0	0	0	0	2	5	無関係	0		7
11	1	0	3578m48p68s22244z	defend	0	2	5	18	狭い	3	2	5	0	4	1	1	0	1	5	0	放銃	-1300		7
11	2	0	27m56p11135679s3z	defend	0	3	21	73	非常に広い	3	0	3	0	4	0	0	0	0	1	4	和了	2300	立直1	7
11	3	0	40m12244p479s477z	attack	0	3	14	43	広い	4	1	5	1	3	1	2	1	1	3	2	無関係	0		7
12	0	1	2399m66789p34s45z	attack	0	2	6	20	ふつう	5	0	5	1	4	0	0	0	0	2	3	和了	13000	立直1・門前清自摸和1・平和1・ドラ2	9
12	1	0	12m346p3469s1466z	attack	1	4	21	73	非常に広い	3	1	4	0	4	1	1	0	1	4	2	被ツモ	-4000		9
12	2	0	1346m134589p40s1z	attack	1	3	18	59	非常に広い	3	1	4	0	4	1	1	1	0	1	3	被ツモ	-4000		9
12	3	0	1059m157p14678s6z	attack	1	4	19	67	非常に広い	2	1	3	0	4	1	1	1	0	1	4	被ツモ	-4000		9
13	0	1	33m167889p2347s2z	attack	0	2	11	38	広い	4	0	4	1	4	0	0	0	0	1	2	無関係	0		15
13	1	0	479m244p5568s245z	defend	0	4	21	71	非常に広い	2	2	4	0	4	0	0	0	0	3	1	和了	9000	自風 南1・ドラ3・赤ドラ1	15
13	2	0	5589m23p1340s367z	attack	1	3	11	37	広い	3	1	4	0	4	1	1	1	0	3	2	無関係	0		15
13	3	0	3m1235679p147s67z	defend	0	4	20	72	非常に広い	2	0	2	0	4	0	0	0	0	2	3	放銃	-8000		15
14	0	1	136m405p114566s6z	attack	0	3	22	75	非常に広い	4	1	5	1	4	1	1	1	0	1	3	無関係	0		10
14	1	0	145678m3356p6s66z	attack	0	2	7	23	ふつう	5	0	5	1	4	1	1	0	1	2	1	和了	2000	翻牌 發1・ドラ1	10
14	2	0	249m567p29s24457z	defend	0	4	15	52	非常に広い	2	1	3	0	4	0	0	0	0	5	2	無関係	0		10
14	3	0	1234m1169p4s2457z	defend	0	5	28	99	非常に広い	2	0	2	0	4	0	0	0	0	4	4	放銃	-2000		10
15	0	1	159m4789p144688s	defend	0	4	26	91	非常に広い	3	0	3	0	4	0	0	0	0	0	4	放銃	-3900		12
15	1	0	05679m1358p6s146z	attack	1	5	24	83	非常に広い	2	1	3	0	4	1	1	1	0	3	2	無関係	0		12
15	2	0	5789m236p22789s1z	attack	0	2	13	46	広い	4	0	4	1	4	0	0	0	0	1	2	無関係	0		12
15	3	0	48m155677p57s135z	defend	0	4	18	63	非常に広い	2	1	3	0	4	0	0	0	0	3	1	和了	4900	断幺九1・ドラ2	12
16	0	1	126m34489p236s47z	defend	0	4	21	77	非常に広い	2	2	4	0	4	0	0	0	0	2	2	被ツモ	-1000		11
16	1	0	1579m667p339s166z	defend	0	3	7	21	ふつう	3	0	4	0	4	1	1	0	1	3	3	被ツモ	-500		11
16	2	0	123668m13467s25z	attack	0	3	17	58	非常に広い	4	0	4	1	4	0	0	0	0	2	2	和了	3000	立直1・門前清自摸和1	11
16	3	0	17m12678p12279s4z	defend	0	3	15	54	非常に広い	2	2	4	0	4	0	0	0	0	1	4	被ツモ	-500		11
17	0	1	256m1p3459s12334z	defend	0	4	15	52	非常に広い	3	0	3	0	4	0	0	0	0	5	2	放銃	-7700		10
17	1	0	68m23468p1266s44z	defend	0	2	5	16	狭い	3	3	6	0	4	0	0	0	0	2	1	無関係	0		10
17	2	0	1568m167p12248s1z	defend	0	4	20	73	非常に広い	3	0	3	0	4	0	0	0	0	1	3	無関係	0		10
17	3	0	349m223455p78s25z	attack	0	3	16	55	非常に広い	5	0	5	1	4	0	0	0	0	2	1	和了	8700	立直1・一発1・平和1・裏ドラ1	10
18	0	1	49m1234779p23s23z	defend	0	4	21	73	非常に広い	3	0	3	0	4	0	0	0	0	2	3	被ツモ	-6000		14
18	1	0	23668m688p235s13z	attack	0	4	24	83	非常に広い	4	0	4	1	4	0	0	0	0	2	0	和了	13000	立直1・門前清自摸和1・場風 東1・ドラ3	14
18	2	0	15m356p088999s67z	attack	1	4	23	82	非常に広い	3	0	3	0	4	1	1	1	0	2	4	被ツモ	-3000		14
18	3	0	057m2267p177s345z	defend	0	3	7	21	ふつう	3	0	4	0	4	1	1	1	0	3	1	被ツモ	-3000		14
19	0	1	1677m24p112468s3z	defend	0	3	7	24	ふつう	2	3	5	0	4	0	0	0	0	1	3	放銃	-8000		12
19	1	0	3m2366p1368s5566z	attack	0	3	14	43	広い	4	2	6	1	3	1	2	0	1	4	1	和了	8000	翻牌 白1・翻牌 發1・対々和2	12
19	2	0	69m134079p378s27z	attack	1	4	20	73	非常に広い	2	1	3	0	4	1	1	1	0	2	3	無関係	0		12
19	3	0	1189m788p599s167z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	3	5	無関係	0		12
20	0	1	1568m235p34s3457z	defend	0	5	22	77	非常に広い	3	0	3	0	4	0	0	0	0	4	1	無関係	0		11
20	1	0	4456m28p12668s26z	defend	0	4	25	87	非常に広い	3	1	4	0	4	0	0	0	0	2	1	無関係	0		11
20	2	0	2279m1345p457s57z	defend	0	3	16	55	非常に広い	3	1	4	0	4	0	0	0	0	2	2	和了	3000	断幺九1・ドラ1	11
20	3	0	30679m689p299s24z	attack	1	4	22	75	非常に広い	2	1	3	0	4	1	1	1	0	2	4	放銃	-2000		11
21	0	1	56m23347p156s266z	attack	0	3	18	63	非常に広い	5	0	5	1	4	1	1	0	1	3	1	和了	7800	翻牌 發1・ドラ1・赤ドラ1	9
21	1	0	130689m78p29s355z	attack	0	3	6	22	ふつう	3	2	5	1	3	1	2	1	1	3	3	被ツモ	-2600		9
21	2	0	1347m266p4779s27z	defend	0	4	9	27	ふつう	2	0	3	0	4	0	0	0	0	2	2	被ツモ	-2600		9
21	3	0	357m34589p3889s5z	defend	0	3	20	72	非常に広い	2	2	4	0	4	0	0	0	0	1	2	被ツモ	-2600		9
22	0	1	299m6p1378s11245z	attack	0	4	21	71	非常に広い	3	1	4	1	3	1	2	0	1	5	3	和了	12000	場風 東1・自風 東1・ドラ3	7
22	1	0	1123m48p18s45677z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	0	1	5	3	無関係	0		7
22	2	0	249m1407p225667s	attack	0	3	19	65	非常に広い	4	1	5	1	4	1	1	1	0	0	2	放銃	-12000		7
22	3	0	4067m237899p78s7z	attack	0	2	17	59	非常に広い	6	0	6	1	4	1	1	1	0	1	2	無関係	0		7
23	0	1	06m2378p225678s6z	attack	0	2	7	26	ふつう	6	0	6	1	4	1	1	1	0	1	0	被ツモ	-3900		11
23	1	0	11566899p279s17z	defend	0	3	12	37	広い	3	2	5	0	4	0	0	0	0	2	5	被ツモ	-2000		11
23	2	0	33457m0p344679s4z	attack	0	3	18	65	非常に広い	4	0	4	1	4	1	1	1	0	1	1	和了	8900	断幺九1・ドラ3	11
23	3	0	15799m89p1405s67z	attack	1	4	19	63	非常に広い	2	2	4	0	4	1	1	1	0	2	5	被ツモ	-2000		11
24	0	1	59m789p156789s11z	attack	0	2	13	46	広い	4	0	4	1	3	1	2	0	1	2	4	流局	3000		18
24	1	0	114577m8p128s345z	defend	0	4	20	67	非常に広い	3	1	4	0	4	0	0	0	0	3	3	流局	-1000		18
24	2	0	49m3066p39s24557z	attack	1	4	9	27	ふつう	2	0	3	0	3	1	2	1	1	5	2	流局	-1000		18
24	3	0	4m124p36s1233567z	defend	0	5	17	57	非常に広い	1	0	2	0	4	0	0	0	0	7	1	流局	-1000		18
25	0	1	14689m66p12249s1z	defend	0	3	4	14	狭い	2	2	4	0	4	0	0	0	0	1	4	無関係	0		7
25	1	0	149m123p23478s23z	defend	0	3	13	47	広い	3	0	3	0	4	0	0	0	0	2	3	放銃	-7700		7
25	2	0	3566m37p0678s357z	attack	1	4	21	73	非常に広い	3	1	4	0	4	1	1	1	0	3	0	無関係	0		7
25	3	0	12m1188p1357s466z	attack	1	3	14	43	広い	3	3	6	0	4	1	1	0	1	3	4	和了	7700	翻牌 發1・ドラ3	7
26	0	1	11208m266789p18s	attack	1	4	24	83	非常に広い	3	0	3	0	4	1	1	1	0	0	4	被ツモ	-1000		9
26	1	0	9m13358p2788s156z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	3	2	被ツモ	-500		9
26	2	0	1359m24569p47s17z	defend	0	5	26	93	非常に広い	1	1	2	0	4	0	0	0	0	2	3	被ツモ	-500		9
26	3	0	346m1478p389s447z	attack	1	4	23	83	非常に広い	3	1	4	0	4	1	1	0	1	3	2	和了	3000	自風 北1・赤ドラ1	9
27	0	1	4089m34677p7s467z	attack	1	4	20	71	非常に広い	3	1	4	0	4	1	1	1	0	3	1	放銃	-3900		15
27	1	0	122m25788p458s23z	defend	0	4	21	71	非常に広い	3	1	4	0	4	0	0	0	0	2	1	無関係	0		15
27	2	0	3m2699p13468s225z	defend	0	4	25	87	非常に広い	3	1	4	0	4	0	0	0	0	3	3	無関係	0		15
27	3	0	7m1234409p279s15z	attack	1	4	21	73	非常に広い	2	1	3	0	4	1	1	1	0	2	3	和了	3900	断幺九1・赤ドラ2	15
28	0	1	1449m457p114s456z	defend	0	4	9	27	ふつう	2	0	3	0	4	0	0	0	0	3	4	被ツモ	-3900		14
28	1	0	1236679m117p24s2z	defend	0	2	4	12	狭い	3	2	5	0	4	0	0	0	0	1	4	和了	8900	立直1・門前清自摸和1・ドラ1・赤ドラ1	14
28	2	0	33m588p33066s123z	attack	0	2	5	15	狭い	4	0	4	1	4	1	1	1	0	3	0	被ツモ	-2000		14
28	3	0	1456m29p779s2467z	defend	0	5	22	75	非常に広い	2	0	2	0	4	0	0	0	0	4	3	被ツモ	-2000		14
29	0	1	1123456m17p3s466z	attack	0	3	20	69	非常に広い	4	0	4	1	4	1	1	0	1	3	3	無関係	0		7
29	1	0	1258m1668p40s255z	attack	0	4	24	83	非常に広い	3	1	4	1	3	1	2	1	1	3	2	和了	2000	翻牌 白1・赤ドラ1	7
29	2	0	9m99p166788s1477z	attack	0	2	5	15	狭い	4	0	4	1	4	1	1	0	1	4	4	無関係	0		7
29	3	0	357m126p46s11244z	defend	0	3	6	20	ふつう	2	3	5	0	3	1	2	0	1	5	1	放銃	-2000		7
30	0	1	78m1359p123s2347z	defend	0	4	15	52	非常に広い	2	1	3	0	4	0	0	0	0	4	3	和了	5900	立直1・門前清自摸和1・平和1	15
30	1	0	36m158p10699s237z	attack	1	5	11	33	ふつう	1	0	2	0	4	1	1	1	0	3	4	被ツモ	-1300		15
30	2	0	2777m24478p4678s	attack	0	2	17	62	非常に広い	4	0	4	1	4	0	0	0	0	0	0	被ツモ	-1300		15
30	3	0	8m1226699p89s567z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	3	4	被ツモ	-1300		15
31	0	1	077m44059p17s166z	attack	0	2	5	15	狭い	4	0	4	1	2	1	3	2	1	3	2	被ツモ	-500		10
31	1	0	446789m13p34s234z	defend	0	3	14	47	広い	3	1	4	0	4	0	0	0	0	3	2	被ツモ	-300		10
31	2	0	4459m89p667s2237z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	4	2	被ツモ	-300		10
31	3	0	39m1346p2459s356z	defend	0	5	22	79	非常に広い	2	0	2	0	4	0	0	0	0	3	3	和了	2100	翻牌 白1	10
32	0	1	224m25899p17s167z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	3	3	無関係	0		11
32	1	0	234567m1235s356z	attack	0	2	8	27	ふつう	4	0	4	1	4	0	0	0	0	3	1	放銃	-3900		11
32	2	0	18m134569p348s23z	defend	0	4	19	70	非常に広い	3	0	3	0	4	0	0	0	0	2	3	和了	4900	断幺九1・ドラ1・赤ドラ1	11
32	3	0	6899m1136p49s227z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	3	5	無関係	0		11
33	0	1	2347m569p40s1146z	attack	0	3	14	50	非常に広い	4	0	4	1	2	1	3	1	1	4	1	和了	12700	場風 東1・自風 東1・ドラ1・赤ドラ1	11
33	1	0	246m1279p1799s46z	defend	0	4	20	71	非常に広い	1	3	4	0	4	0	0	0	0	2	5	被ツモ	-3900		11
33	2	0	34m13347p4668s57z	defend	0	3	6	24	ふつう	3	1	4	0	4	0	0	0	0	2	1	被ツモ	-3900		11
33	3	0	7m2347p26779s126z	defend	0	4	19	70	非常に広い	2	1	3	0	4	0	0	0	0	3	1	被ツモ	-3900		11
34	0	1	2m224p11456s1466z	attack	0	3	17	55	非常に広い	4	0	4	1	4	1	1	0	1	4	2	被ツモ	-3900		10
34	1	0	469m6p788s134577z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	0	1	6	1	被ツモ	-2000		10
34	2	0	49m347p136s15577z	attack	0	4	27	95	非常に広い	3	1	4	1	3	1	2	0	1	5	2	被ツモ	-2000		10
34	3	0	678m689p1278s346z	defend	0	3	10	34	ふつう	2	2	4	0	4	0	0	0	0	3	2	和了	8900	立直1・門前清自摸和1・三色同順2	10
35	0	1	112444888m267p2z	attack	0	2	11	36	広い	4	0	4	1	4	0	0	0	0	1	2	被ツモ	-4000		10
35	1	0	679m35678p368s47z	defend	0	3	10	34	ふつう	3	1	4	0	4	0	0	0	0	2	1	和了	9000	立直1・門前清自摸和1・断幺九1・ドラ1・裏ドラ1	10
35	2	0	259m358p4788s135z	defend	0	5	11	33	ふつう	1	0	2	0	4	0	0	0	0	3	1	被ツモ	-2000		10
35	3	0	3406m29p209s1156z	attack	0	5	27	95	非常に広い	3	0	3	1	2	1	3	2	1	4	2	被ツモ	-2000		10
36	0	1	8m4779p12789s245z	defend	0	4	16	56	非常に広い	2	1	3	0	4	0	0	0	0	3	3	無関係	0		10
36	1	0	1199m3p35s255667z	attack	0	2	5	15	狭い	4	0	5	1	3	1	2	0	1	6	4	無関係	0		10
36	2	0	3667m240789p579s	attack	1	3	23	81	非常に広い	3	1	4	0	4	1	1	1	0	0	2	和了	3900	三色同順1・ドラ1・赤ドラ1	10
36	3	0	188m2237p12668s7z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	1	2	放銃	-3900		10
37	0	1	2567p12368s1246z	defend	0	3	9	31	ふつう	2	1	3	0	4	0	0	0	0	4	1	和了	3000	立直1	8
37	1	0	2359m1678p469s13z	defend	0	4	18	64	非常に広い	2	1	3	0	4	0	0	0	0	2	3	無関係	0		8
37	2	0	258m36689p16s556z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	0	1	3	2	放銃	-2000		8
37	3	0	146688m8p4077s57z	defend	0	3	7	21	ふつう	3	0	4	0	4	1	1	1	0	2	1	無関係	0		8
38	0	1	206m11089p4689s5z	attack	1	3	6	22	ふつう	2	3	5	0	3	1	2	2	0	1	4	流局	-1500		18
38	1	0	117m448p146789s6z	defend	0	3	16	56	非常に広い	3	1	4	0	4	0	0	0	0	1	4	流局	-1500		18
38	2	0	228m116p1055779s	attack	0	2	4	12	狭い	4	0	4	1	4	1	1	1	0	0	4	流局	1500		18
38	3	0	126678m38p1378s3z	defend	0	3	20	73	非常に広い	3	2	5	0	4	0	0	0	0	1	2	流局	1500		18
39	0	1	245m267p26889s15z	defend	0	4	20	73	非常に広い	3	0	3	0	4	0	0	0	0	2	1	和了	1500	断幺九1	12
39	1	0	1778m2069p127s24z	attack	1	5	27	95	非常に広い	2	1	3	0	4	1	1	1	0	2	3	放銃	-1500		12
39	2	0	3067m38p2344s347z	attack	1	4	24	85	非常に広い	3	0	3	0	4	1	1	1	0	3	0	無関係	0		12
39	3	0	238m45678p1279s4z	defend	0	3	19	63	非常に広い	3	2	5	0	4	0	0	0	0	1	2	無関係	0		12
40	0	1	23m689p10799s225z	attack	1	3	6	20	ふつう	3	2	5	0	4	1	1	1	0	3	4	無関係	0		13
40	1	0	13679m2079p19s46z	attack	1	5	24	85	非常に広い	1	2	3	0	4	1	1	1	0	2	5	無関係	0		13
40	2	0	1147m245p39s1336z	attack	1	4	9	27	ふつう	2	0	3	0	4	1	1	0	1	4	3	和了	9000	立直1・自風 西1・ドラ2	13
40	3	0	258m369p23566s24z	defend	0	5	11	33	ふつう	1	0	2	0	4	0	0	0	0	2	1	放銃	-8000		13
41	0	1	267m399p4568s127z	defend	0	4	20	71	非常に広い	3	0	3	0	4	0	0	0	0	3	2	流局	3000		18
41	1	0	23469m2588p79s23z	defend	0	4	18	63	非常に広い	2	1	3	0	4	0	0	0	0	2	2	流局	-1000		18
41	2	0	107m12368p10s346z	attack	1	4	15	54	非常に広い	1	2	3	0	3	1	2	2	0	3	3	流局	-1000		18
41	3	0	189m17p1357s1357z	defend	0	5	24	87	非常に広い	0	3	3	0	4	0	0	0	0	4	4	流局	-1000		18
42	0	1	145779m3p2s33466z	attack	1	3	7	21	ふつう	3	0	4	0	4	1	1	0	1	5	2	和了	11600	翻牌 發1・混一色2	15
42	1	0	19m88p23455668s7z	attack	0	3	17	55	非常に広い	4	0	4	1	4	0	0	0	0	1	2	無関係	0		15
42	2	0	669m7p116689s127z	defend	0	3	7	21	ふつう	3	0	4	0	4	0	0	0	0	3	4	無関係	0		15
42	3	0	8m34669p78s12456z	defend	0	5	21	71	非常に広い	3	0	3	0	4	0	0	0	0	5	1	放銃	-11600		15
43	0	1	29m36p2366s13347z	defend	0	4	9	27	ふつう	2	0	3	0	4	0	0	0	0	5	1	被ツモ	-1300		16
43	1	0	45m12379p79s3567z	defend	0	3	8	28	ふつう	2	2	4	0	4	0	0	0	0	4	3	和了	3700	立直1・門前清自摸和1・平和1	16
43	2	0	1146m1348p389s45z	defend	0	4	19	67	非常に広い	2	2	4	0	4	0	0	0	0	2	4	被ツモ	-700		16
43	3	0	222478m1247p58s1z	defend	0	4	23	81	非常に広い	2	1	3	0	4	0	0	0	0	1	1	被ツモ	-700		16
44	0	1	35m379p11466s125z	defend	0	4	22	75	非常に広い	2	2	4	0	4	0	0	0	0	3	3	被ツモ	-2600		12
44	1	0	3440668m18p2457z	attack	1	4	16	55	非常に広い	3	0	3	0	4	1	1	1	0	4	1	被ツモ	-1300		12
44	2	0	14678m499p2345s3z	attack	0	3	21	73	非常に広い	4	0	4	1	4	0	0	0	0	1	3	和了	7200	立直1・門前清自摸和1・平和1・断幺九1	12
44	3	0	125799m068p899s6z	attack	1	3	7	24	ふつう	3	2	5	0	4	1	1	1	0	1	5	被ツモ	-1300		12
45	0	1	15m27p447s122344z	defend	0	3	7	21	ふつう	3	0	3	0	4	0	0	0	0	6	1	和了	10600	立直1・七対子2・赤ドラ1	14
45	1	0	2239m29p14469s37z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	2	4	無関係	0		14
45	2	0	1367m15789p378s5z	defend	0	3	10	35	ふつう	3	1	4	0	4	0	0	0	0	1	3	放銃	-9600		14
45	3	0	134088m4699p1s46z	attack	1	3	12	39	広い	3	1	4	0	4	1	1	1	0	2	4	無関係	0		14
46	0	1	8m4789p256s14455z	attack	0	3	17	60	非常に広い	4	0	4	1	4	1	1	0	1	5	1	和了	3000	翻牌 白1	9
46	1	0	244578m13p149s67z	defend	0	4	15	55	非常に広い	2	2	4	0	4	0	0	0	0	2	3	放銃	-2000		9
46	2	0	05m12p178s222347z	attack	1	3	10	34	ふつう	3	1	4	0	4	1	1	1	0	6	2	無関係	0		9
46	3	0	123367m136p3459s	defend	0	2	15	54	非常に広い	3	1	4	0	4	0	0	0	0	0	3	無関係	0		9
47	0	1	279m1278p18s1236z	defend	0	5	19	69	非常に広い	1	2	3	0	4	0	0	0	0	4	3	被ツモ	-2000		8
47	1	0	8m12067p345s4556z	attack	0	2	8	27	ふつう	3	1	4	1	3	1	2	1	1	4	1	被ツモ	-1000		8
47	2	0	48m233479p778s15z	defend	0	4	23	79	非常に広い	3	1	4	0	4	0	0	0	0	2	1	和了	5000	立直1・門前清自摸和1・一盃口1	8
47	3	0	157m1466p67s1347z	defend	0	5	22	75	非常に広い	2	1	3	0	4	0	0	0	0	4	2	被ツモ	-1000		8
48	0	1	49m46p20669s1245z	attack	1	5	11	33	ふつう	1	0	2	0	4	1	1	1	0	4	2	流局	-1000		18
48	1	0	467m3477899p467s	attack	0	2	7	27	ふつう	5	0	5	1	4	0	0	0	0	0	2	流局	3000		18
48	2	0	26m5p1489s125667z	attack	1	5	17	57	非常に広い	1	0	2	0	4	1	1	0	1	6	2	流局	-1000		18
48	3	0	446m289p579s1235z	defend	0	5	25	87	非常に広い	1	2	3	0	4	0	0	0	0	4	2	流局	-1000		18
49	0	1	4m568p2356789s13z	attack	0	3	11	37	広い	4	0	4	1	4	0	0	0	0	2	1	放銃	-32000		6
49	1	0	2369m56889p29s67z	defend	0	5	25	87	非常に広い	3	0	3	0	4	0	0	0	0	2	3	無関係	0		6
49	2	0	16m24p1134677s34z	defend	0	4	22	75	非常に広い	3	1	4	0	4	0	0	0	0	2	3	無関係	0		6
49	3	0	28m5p455s2245555z	defend	0	3	5	15	狭い	3	0	3	0	4	1	1	0	1	7	0	和了	32000	自風 北1・翻牌 白1・対々和2・混一色2・ドラ7・赤ドラ1	6
50	0	1	2239m18p335s2346z	defend	0	4	9	27	ふつう	2	0	2	0	4	0	0	0	0	4	2	無関係	0		10
50	1	0	059m7p1240678s57z	attack	0	3	14	49	広い	3	1	4	1	3	1	2	2	0	2	2	無関係	0		10
50	2	0	1466m12055p11s26z	attack	1	3	14	46	広い	3	1	4	0	4	1	1	1	0	2	4	放銃	-2000		10
